id,sender,body,type
1143,SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs75.0 on 18Mar23 transfer to PUNDALIK ISHWARRA Ref No 307769229521. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1144,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs110.0 on 18Mar23 transfer to SADHANA BHARAT Ref No 307769367242. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1145,VK-NSESMS,"NEXTBILLION TECHNOLOGY PRIVATE on 18-02-23 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",banking
1146,Junglee Rummy,"🔥 ₹2 Crore Mega Prize Pool 🔥Play Online & Win Cash.Link - https://a.1rp.in/1/OKRJT",spam
1147,AD-CAMSGG,"Dear Investor, this message is sent on behalf of MFs serviced by CAMS. As per SEBI mandate, you are required to update nominee/s or provide opt-out declaration in your folios latest by 31st March 2023. Update instantly for all CAMS Funds using http://bit.ly/3Q6d0Tl or submit duly filled form http://bit.ly/3i1Sfvv. Reach us on 1800 419 2267 for any queries. Regards, CAMS.",spam
1148,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1149,AZ-650024,"Daily Data limit ko apne data anubhav ko interrupt na karne dein. Ab paye 3GB+ FREE 2GB data Rs58 mein Airtel thanks App par,aapke maujooda pack ki vaidhta tak manya. Abhi recharge karein i.airtel.in/OFFER8",spam
1150,My11Circle 🏏,"Final 2 hrs, IND (🇮🇳) vs (🇦🇺) AUS ODI ! ₹1.54 Crores Prize Pool on My11Circle!- Register FREE- Make Your Team- Win Cash PrizesMake your team now  -👉 https://a.1rp.in/1/57im8",spam
1151,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1152,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs110.0 on 19Mar23 transfer to Manmohan  Singh Ref No 307800323289. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1153,Junglee Rummy 🔥 ,"Final 2 hrs, ₹2 Crore Mega Prize Pool on Junglee Rummy! - Register FREE - Learn & Play Rummy - Win Cash Learn, Play & Win  - 👉 https://a.1rp.in/1/5ap3k",spam
1154,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs60.0 on 19Mar23 transfer to YEWALE WADEWALE Ref No 307808064053. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1155,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs220.0 on 19Mar23 transfer to SHAILENDRA Ref No 307808481914. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1156,JD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs50.0 on 19Mar23 transfer to A D Mart Ref No 307809027235. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1157,BP-SBIOTP,OTP for online purchase of Rs. 2.00 at GOOGLEPLAY thru State Bank Debit Card 4591*****98 is 256963. Do not share this with anyone.,otp
1158,TM-SBIDCM,"Dear Customer, your e-mandate on SBI Debit card ending 9398 is active with the following details:Merchant: Google PlayDescription: F1TVProMonthlyFTF1TVAmount (Rs): 2.00Frequency: monthlyStart date: 19/03/2023End date: 31/12/2033SiHubId: WW8MmuZSl2",spam
1159,AZ-AIRTEL,"90% ALERT!: for your daily highspeed data limit. Get 1GB data at just Rs19, valid for 1 day till midnight. Recharge now i.airtel.in/Rcharge",spam
1160,TM-SBIDCM,"Dear SBI Customer, In view of RBI guidelines on card data storage, your card data have been replaced with a token for your eMandateMandate ID: WW8MmuZSl2Merchant: Google PlayYour e-mandate will continue to be processed as before. - SBI",spam
1163,OLAELC,"Hi Pune, a new Ola Experience Centre is opening near you soon. Can't wait to check out the Ola S1? Take a test ride today at https://u1.mnge.co/zrr3Bky",spam
1164,JD-LNKART,"Dear Customer,Your half-yearly Eye Check-Up with Lenskart is DUE!Locate a store & get ur eyes tested: lskt.me/te",spam
1165,VM-ADHAAR,"OTP for Aadhaar (XX1437) is 399134 (valid for 10 mins). To update Aadhaar, Upload documents on myaadhaar.uidai.gov.in or visit Aadhaar Center. Call 1947 for info. -UIDAI",otp
1166,BV-VAAHAN,"Your application 1020879823 for LL(MC50CC, MCWG) is received. To check Application status use link: https://sarathi.parivahan.gov.in/sarathiservice/applicationredirect.do?as=1020879823 MoRTH",spam
1167,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1168,AZ-AIRTEL,"90% ALERT!: for your daily highspeed data limit. Get 1GB data at just Rs19, valid for 1 day till midnight. Recharge now i.airtel.in/Rcharge",spam
1169,AZ-650024,16+ OTT ab aapke hain! Airtel Digital TV HD box ke saath sirf Rs750 mein bade parde par apni pasandida film aur series dekhein! i.airtel.in/DTH-OS,spam
1170,OLAELC,"Hi Pune, a new Ola Experience Centre is opening near you soon. Can't wait to check out the Ola S1? Take a test ride today at https://u1.mnge.co/3z3pO4G",spam
1171,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs40.0 on 21Mar23 transfer to MUKESH KUMAR Ref No 308073848089. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1172,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs63.0 on 21Mar23 transfer to KONDIBA Ref No 308077094785. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1173,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs998.0 on 21Mar23 transfer to Zeeshan Ref No 308080730214. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1174,CP-620203,"Dear Client, place a registration document update through code 0085, can get wage 16000Rs daily, Find more information on https://wa.me/917899471572.ARTEXP",spam
1175,CP-620203,"Dear Client, place a registration document update through code 0085, can get wage 16000Rs daily, Find more information on https://wa.me/917899471572 .ARTEXP",spam
1176,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1177,AZ-AIRTEL,"90% ALERT!: for your daily highspeed data limit. Get 1GB data at just Rs19, valid for 1 day till midnight. Recharge now i.airtel.in/Rcharge",spam
1178,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs350.0 on 22Mar23 transfer to Transport Ref No 308193790310. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1179,BT-VAAHAN,Your OTP (One Time Password) for tutorial for LL test is: 658990. Do not share it with anyone. MoRTH,otp
1180,BV-VAAHAN,"Congratulations, now there is no need to visit RTO for LL test, you may take the LL test with the same application ID. Click on the link: https://sarathi.parivahan.gov.in/sarathiservice/applicationredirect.do?ll=1020879823 and password is A4FYQN. MoRTH",spam
1181,AZ-AIRINF,"Hi, Payment of Rs. 65.0 has failed for your Airtel Mobile 7219575184. Any amount, if debited will be refunded to your source account within a day. Please keep order ID 7044228548262928384 for reference.",spam
1182,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs65.0 on 22Mar23 transfer to Bharti Airtel Ref No 308195023623. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1183,Airtel,"Recharge of INR 65.00 is successful for your Airtel Mobile on 22-03-2023 14:34, Transaction ID 1077878808.Check your balance, validity, tariff and best recharges on Airtel Thanks App. Would you like to refer Airtel Prepaid to your friends & family and save Rs100 on your next recharge? Click i.airtel.in/ref",bill
1184,Airtel,"Enjoy 4GB data valid till your current pack validity.Also get EXTRA 2GB on your next recharge of Rs65 for your Airtel Mobile, only on Airtel Thanks App. Click i.airtel.in/rech_now",bill
1185,AZ-AIRINF,"Hi, we have processed Rs. 65.0 for your Airtel Mobile 7219575184. The payment will be updated within 1 hrs. Please keep your order ID 7044232140281675776 for future reference. Track your payment status via  https://i.airtel.in/Recharge-Bills",spam
1186,AZ-AIRINF,"Hi, Your Prepaid recharge of Rs. 65.0 is success against Order Id 7044232140281675776. Please keep the Order ID for future reference.",bill
1187,AZ-AIRTEL,"100% ALERT!: for your daily highspeed data limit. Get 1GB data at just Rs19, valid for 1 day till midnight. Recharge now i.airtel.in/Rcharge",spam
1188,AZ-AIRINF,FREE data coupon of 2GB has been credited to your Airtel Mobile account. Claim now before it expires: https://i.airtel.in/ClaimData,spam
1189,AD-AIRTEL,"Hi, we saw you that could not complete your recharge. You can now try again to recharge your Airtel number. Click i.airtel.in/RechargeNow",spam
1190,JX-IMSIND,"Hello IMS student,Most B School Calls are out. We would love to know how you fared. Check your calls & update them on: https://tinyurl.com/53f2ujat.",spam
1191,AZ-650024,"Unlimited data, sirf aapke liye! Airtel Black mein upgrade karein aur anand lein 300 Mbps Wi-fi, 17 +OTTs aur 350+TV channel ka. Plan Rs699 se shuru. i.airtel.in/blackDB",spam
1192,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs60.0 on 23Mar23 transfer to RAFIK KHAN Ref No 308226177877. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1193,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs110.0 on 23Mar23 transfer to AKSHAY Ref No 308226397887. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1194,VM-NSESMS,"NEXTBILLION TECHNOLOGY PRIVATE on 25-02-23 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",banking
1195,AZ-AIRINF,"Hi, we have processed Rs. 155.0 for your Airtel Mobile 9960712184. The payment will be updated within 1 hrs. Please keep your order ID 7044976341696970752 for future reference. Track your payment status via  https://i.airtel.in/Recharge-Bills",spam
1196,JK-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs155.0 on 24Mar23 transfer to airtel Ref No 308361209859. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1197,AD-AIRTEL,"Hi, we saw you that could not complete your recharge. You can now try again to recharge your Airtel number. Click i.airtel.in/RechargeNow",spam
1198,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs60.0 on 24Mar23 transfer to RAFIK KHAN Ref No 308365515488. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1199,VK-SBIDCM,"Dear Customer, your Google Play e-mandate SiHubId WW8MmuZSl2 payment for Rs. 299.00 is due on 26/03/2023 and will be processed through SBI Debit card ending 9398.",spam
1200,BH-VAAHAN,Your OTP (One Time Password) for tutorial for LL test is: 033759. Do not share it with anyone. MoRTH,otp
1201,BV-VAAHAN,Your OTP (One Time Password) for tutorial for LL test is: 604761. Do not share it with anyone. MoRTH,otp
1202,BH-VAAHAN,"Congratulations, now there is no need to visit RTO for LL test, you may take the LL test with the same application ID. Click on the link: https://sarathi.parivahan.gov.in/sarathiservice/applicationredirect.do?ll=1020879823 and password is A4FYQN. MoRTH",spam
1203,AD-AIRTEL,"Do not miss out on superior indoor coverage with Airtel WiFi Calling! For better experience, change your smartphone settings today. Click u.airtel.in/hKOOl5",spam
1204,BV-VAAHAN,"Congratulations, now there is no need to visit RTO for LL test, you may take the LL test with the same application ID. Click on the link: https://sarathi.parivahan.gov.in/sarathiservice/applicationredirect.do?ll=1020879823 and password is A4FYQN. MoRTH",spam
1205,LNKART,"Dear Customer, 2 frames @ Rs.1700 of your choice with Premium Anti-glare Lenses from Lenskart. TnCHurry! Shop Now.Store: lskt.me/m8Online: lskt.me/k9",spam
1206,RCircle 🥇,"₹2,000 Welcome Bonus Awaits You Today ! Play & Win Lakhs On RummyCircle! ➡️ Register FREE➡️ Claim ₹2,000 Welcome Bonus➡️ Play & Win Cash Redeem this offer - 👉 https://a.1rp.in/1/Tz7Sp",spam
1207,JK-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs80.0 on 25Mar23 transfer to ANGAD Ref No 308400175991. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1208,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs30.0 on 25Mar23 transfer to Ajara Bank Ref No 308400440455. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1209,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1210,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs105.0 on 26Mar23 transfer to KANNU KI CHAI Ref No 308525485293. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1211,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs70.0 on 26Mar23 transfer to AARYA ENTERPRISES Ref No 308525851172. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1212,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1213,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs3000.0 on 26Mar23 transfer to SAIKAT MANDAL Ref No 308537340512. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1214,VK-SBIDCM,"Dear Customer, Payment of Rs 299.00 for Google Play e-mandate SiHubId WW8MmuZSl2 has been processed successfully on your SBI Debit card ending 9398.",spam
1215,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs539.0 on 27Mar23 transfer to Vodafone Idea Ltd Ref No 308671592691. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1216,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1218,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs1000.0 on 28Mar23 transfer to HP Police Ref No 308777167597. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1219,AZ-AIRTEL,"Aap Rocket boys 2 jaise sabse adhik akarshak show ko miss kar  rahe hain! Airtel Xstream Premium mein upgrade karein aur paye access 15+ OTTs, saath hi Sony Liv, Eros Now, LionsgatePlay, hoichoi, chaupal aur adhik ka. Dekhin Live TV, movie, web series aur adhik, sabhi ek jagha par. Abhi Download karein: open.airtelxstream.in/XPPSSia",spam
1220,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs24.0 on 28Mar23 transfer to AMOL TANAJI GHATGE Ref No 345357611435. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1221,CP-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs12.0 on 28Mar23 transfer to AMOL TANAJI GHATGE Ref No 308700450224. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1222,NBHome,"Hi rohan kavari, want to maximize the value of your property? List it with NoBroker today. Reactivate HERE: https://u1.mnge.co/JO0jM51",spam
1223,AZ-AIRTEL,"FREE DATA ALERT! Payein 2GB FREE data apne agle recharge par Airtel Thanks App par. Aaj hi download karein, T&C i.airtel.in/free_2GBdata",spam
1224,RCircle ✌️,"₹2,000 Welcome Bonus Awaits You! Play & Win Lakhs On RummyCircle!➡️ Register FREE➡️ Get ₹2,000 Welcome Bonus➡️ Play & Win Cash Redeem this offer - 👉 https://a.1rp.in/1/Jbef3",spam
1225,BZ-CBSSBI,"Your A/C XXXXX887819 has credit for 00000004357 260323 GOOGLE of Rs 2.00 on 29/03/23. Avl Bal Rs 33,301.16.-SBI",banking
1226,JK-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs265.0 on 29Mar23 transfer to Mr SACHIN Ref No 308835394025. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1227,VK-NSESMS,"NEXTBILLION TECHNOLOGY PRIVATE on 04-03-23 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",banking
1228,AD-ARWGOV,The CEIR portal facilitates mobile phone users for reporting/ blocking/ unblocking of lost or stolen mobile phones and retrieval through State Police. Please visit https://www.ceir.gov.in for details,spam
1229,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs60.0 on 30Mar23 transfer to RAFIK KHAN Ref No 308952109720. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1230,AZ-650024,"kya aap chahtey hain ki aapke dost aur parivar 5G ke liye taiyar ho? Unke liye Airtel Prepaid refer karein and payein Rs100 tak ka off agle recharge par, shartein laagu. i.airtel.in/Act_no5g",spam
1231,KOTAKA,"When everything is instant, why shouldn't your banking be too?Open a Kotak811 zero balance account in 5 minutes: https://kotk.in/3jUXorT&C Apply -Kbank",spam
1232,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1233,AD-PANTLS,"How GREEN Are YOU!! Dear Pantaloons Greencard member, you are just Rs. 4703 away from turning everyone else Green with envy. Shop & upgrade to 3 STAR...Unlock more rewards... Spring'23 Collection now in-store Know your Greencard benefits: tltx.in/egvmU Shop online: tltx.in/egvmV TC",spam
1234,AX-MGCBRK,Over 109 active tenants are looking for a 1 BHK Flat in Gahunje.Reactivate now to earn more rent. http://mbtrk.co/mbtrk/ei%2BFNPIL9sk%3D Magicbricks,spam
1235,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1236,VM-MYLVNE,"Hello 72195751XX,Rs.5000 BONUS CASH on My11Circle.CHN vs GUJPrize Pool - 10,03,00,000 (10.3 Crore)Entry Fees - Rs.49Click - http://gmg.im/kFiKMm",spam
1237,MYELEV 🏆,"Final 2 hrs, GUJ vs CHN T20 Today !₹10.3 Crores Mega Prize Pool on My11Circle.➡️ Register FREE➡️ Make Your Fantasy Team➡️ Win Cash PrizesPlay now  -👉 https://a.1rp.in/1/PfWut",spam
1238,LNKART,"Dear Customer, EXTRA 20% OFF up to Rs1000 on Lenskart eyewear, order above 2500. Code QM2-W2ZCGCDZ, till 10 Apr. TnCStore lskt.me/m8Online lskt.me/q8",spam
1239,SYMBIY,"Dear Rohan Kavari, your application for Brand Influencer is shortlisted. Details http://bit.ly/3G7Kn4yBeep",spam
1240,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs38.0 on 31Mar23 transfer to Mr MOHAMMED  MATIN Ref No 309006597300. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1241,MY11CIRCLE,"Hi TATA IPL is Here.Enjoy Rs.5000/- Welcome BONUS CASHPBKS vs KKR & LSG vs DC Match on My11circle.2nd Prize - Rs.1CRORE + Grand 1st Prize!Win Now - https://bit.ly/42SnwDM",spam
1242,TX-VAMSGL,Thank You :Thanks For Visiting VAMS,spam
1243,JM-MAXFSN,"OMG! The cat's out of the bag..NEW LOW Price alert!Launching MAX STYLE MIN PRICE@ MAX FashionIrresistible Kids Pricing: Graphic tees @129, Shorts@269, Dresses@299, Jeans@499Men & Women: Solid Tees Flat 199, Graphic Tees Flat 249, Eco-friendly Jeans Flat 699Amazing quality@ superb pricesbit.ly/40TxOBT",spam
1244,AZ-AIRTEL,Miss na karein FREE 2GB Data! Aaj hi Airtel Thanks App download karein aur register karein.Claim now : i.airtel.in/2gb_rc3,spam
1245,VK-NSESMS,"NEXTBILLION TECHNOLOGY PRIVATE on 11-03-23 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",banking
1246,AD-650025,"For cricket lovers like you! Watch LIVE T20 matches with India's Best Video Experience on your Airtel Mobile. Enjoy uninterrupted cricket with extra 12GB, valid as per current pack validity. Recharge with Rs118 data pack today. Click i.airtel.in/data-breacher",spam
1247,AD-AIRTEL,"Do not miss out on superior indoor coverage with Airtel WiFi Calling! For better experience, change your smartphone settings today. Click u.airtel.in/hKOOl5",spam
1248,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs100.0 on 01Apr23 transfer to Angad Janardan Ref No 309132934175. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1249,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1250,TX-vONEMG,"Dear Customer#PaydaySale is LIVEGet 15% +Flat Rs.100 off on medicines, 5-hour delivery+Rs.75 cashback with Paytm wallet*Buy klr.pw/Akkdkd/ctCAShTata 1mg",spam
1251,VK-CARTFK,"Dear User,BEST PRICE of your old car in 5 mins.0 Cost Home InspectionQuick RC TransferMiss Call: 9319977102 OrClick: http://p2x.in/mKGBOJ -CARS24",spam
1252,MYLENV,"Dear 72195751XX,Rs.5000 Welcome Bonus on My11Circle.HYD vs RAJPrize Pool - Rs. 7,23,00,000 (7.23 Crores)Entry Fees - Rs.49Click - http://gmg.im/eSb2cE",spam
1253,JK-ATMSBI,"Dear SBI Customer, Rs.3000 withdrawn at HDF ATM P3ENPU75 from A/cX7819 on 02Apr23 Transaction Number 309212006271. Available Balance Rs.29838. If not withdrawn by you, forward this SMS to 9223008333 / call 1800111109 or 09449112211 to block your card. Call 18001234 if cash not received.",banking
1254,MYELNV,"HYD vs RAJ T20 Match! ₹7.23 Cr Prize Pool on My11Circle! ➡️ Register FREE➡️ Get ₹5,000 Welcome BonusMake your team now  -👉 https://a.1rp.in/1/Y4uyd",spam
1255,My11Circle,"Final 2 hrs, HYD vs RAJ Fantasy T20! ₹7.23 Cr Prize Pool on My11Circle! ➡️ Register FREE➡️ Get ₹5,000 Welcome Bonus➡️ Make Your Fantasy TeamPlay now  -👉 https://a.1rp.in/1/M5RPb",spam
1256,My11Circle,"HYD vs RAJ T20 Match!₹7.23 Cr Mega Prize Pool on My11Circle! ➡️ Register FREE➡️ Get ₹5,000 Welcome Bonus➡️ Make Your Fantasy TeamPlay now  -👉 https://a.1rp.in/1/M38U3",spam
1257,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1258,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs65.0 on 02Apr23 transfer to Shiva Ref No 309276675020. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1259,AZ-AIRTEL,"90% ALERT!: for your daily highspeed data limit. Get 1GB data at just Rs19, valid for 1 day till midnight. Recharge now i.airtel.in/Rcharge",spam
1260,VD-ICICIB,"We have credited your ICICI Bank Account XX977 with INR 38,600.00 on 03-Apr-23. Info:CMS* CMS3217895587*MYTRUX E . The Available Balance is INR 38,623.00.",banking
1261,JK-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs46.0 on 03Apr23 transfer to NOBLE MEDICHEM Ref No 309384661937. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1262,MYLVNC,"Hey,Enjoy Rs.5000 Welcome BONUS CASHCSK vs LSG Match on My11circle.2nd Prize - Rs.1CRORE + Grand 1st Prize!Win Now - http://sss.bz/jRKjcp2m",spam
1263,MYLVNE,"Final 2 hrs, CHE vs LSG #T20,₹9.93 Cr Prize Pool on My11Circle! ➡️ Start FREE➡️ Get ₹5,000 Welcome Bonus➡️ Make Your TeamPlay now  -👉 https://1mm.in/mbMy11C",spam
1264,MYLEVE,"Final 2 hrs, CHE vs LSG T20!₹9.93 Cr Prize Pool on My11Circle! ➡️ Start FREE➡️ Make Your Fantasy Team➡️ Win Cash PrizesMake your team now -👉 https://a.1rp.in/1/7DoyA",spam
1265,MYLVNC,"Final 2 hrs, CHE vs LSG T20!₹9.93 Cr Prize Pool on My11Circle! ➡️ Start FREE➡️ Make Your Fantasy Team➡️ Win Cash PrizesMake Your Team now-👉 https://a.1rp.in/1/7BTpZ",spam
1266,AD-NBHome,"Hi rohan kavari, want to maximize the value of your property? List it with NoBroker today. Reactivate HERE: https://u1.mnge.co/9qKwowN",spam
1267,RCircle ✌️,"₹2,000 Instant Bonus Today! Play Rummy & Win Lakhs On RummyCircle!➡️ Register FREE➡️ Get ₹2,000 Welcome Bonus➡️ Play & Win Cash Redeem this offer - 👉 https://a.1rp.in/1/FQ491",spam
1268,JK-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs261.0 on 03Apr23 transfer to MAHADEV DNYANOBA Ref No 309396797964. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1269,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs261.0 on 03Apr23 transfer to MAHADEV DNYANOBA Ref No 309396797964. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1270,SSRIDE,"Hi Rohan, Commute to your office at Rs. 50/-. Save 75%+ on travel costs compared to cabs. Safe commute. https://bit.ly/sRide-now",spam
1271,AX-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs100.0 on 04Apr23 transfer to SAIKAT MANDAL Ref No 309425598809. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1272,AX-SBIUPI,"Dear SBI UPI User, ur A/cX7819 credited by Rs3 on 04Apr23 by  (Ref no 309470364464)",banking
1273,AX-SBIUPI,"Dear SBI UPI User, ur A/cX7819 credited by Rs100 on 04Apr23 by  (Ref no 309430897491)",banking
1274,MYLVNE,"Dear 72195751XX,Rs.5000 Welcome Bonus on My11Circle.Prize Pool - Rs. 9,60,00,000 (9.60 Cr)Entry Fees - Rs.49Click - http://gmg.im/b20UkS",spam
1275,AZ-AIRTEL,50% ALERT: data is consumed. Get 5GB + FREE 2GB (EXCLUSIVE on Airtel Thanks App) topup at just Rs98 | valid till your current pack i.airtel.in/UnlimitedData-1,spam
1276,VM-NSESMS,"NEXTBILLION TECHNOLOGY PRIVATE on 18-03-23 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",banking
1277,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs50.0 on 05Apr23 transfer to SAFELIFE PHARMA Ref No 309535724275. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
1278,BZ-CBSSBI,"Dear Customer, Your A/C XXXXX887819 has a debit by NACH of Rs 15,000.00 on 05/04/23. Avl Bal Rs 14,419.16. Download YONO - SBI",banking
1279,AX-CBSSBI,"Dear Customer, ECS/NACH dishonored in Acc XXXXX887819 due to insufficient funds. Rs.295.00 debited to account as return charges.-SBI",banking
